text,entities
ngô ngọt bị bệnh gì,"[{""type"": ""CROP"", ""value"": ""ngô ngọt"", ""start"": 0, ""end"": 8}]"
Thông tin về giống hành tím,"[{""type"": ""CROP"", ""value"": ""hành tím"", ""start"": 19, ""end"": 27}]"
Sâu đục thân ở mướp xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""mướp"", ""start"": 15, ""end"": 19}]"
Cách trồng dưa lưới,"[{""type"": ""CROP"", ""value"": ""dưa lưới"", ""start"": 11, ""end"": 19}]"
Tôi muốn biết về giống cam Cao Phong,"[{""type"": ""CROP"", ""value"": ""cam Cao Phong"", ""start"": 23, ""end"": 36}]"
Tắt bơm nước ở khu M,"[{""type"": ""DEVICE"", ""value"": ""bơm nước"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu M"", ""start"": 15, ""end"": 20}]"
Tổng doanh thu tháng 9,"[{""type"": ""DATE"", ""value"": ""tháng 9"", ""start"": 15, ""end"": 22}]"
đậu cô ve cần bón phân gì,"[{""type"": ""CROP"", ""value"": ""đậu cô ve"", ""start"": 0, ""end"": 9}]"
dâu tằm có yêu cầu gì về sinh thái,"[{""type"": ""CROP"", ""value"": ""dâu tằm"", ""start"": 0, ""end"": 7}]"
cà phê vối có yêu cầu gì về sinh thái,"[{""type"": ""CROP"", ""value"": ""cà phê vối"", ""start"": 0, ""end"": 10}]"
Bật máy tưới ở khu G,"[{""type"": ""DEVICE"", ""value"": ""máy tưới"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu G"", ""start"": 15, ""end"": 20}]"
Kiểm tra nhiệt độ khu T,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ"", ""start"": 9, ""end"": 17}, {""type"": ""AREA"", ""value"": ""khu T"", ""start"": 18, ""end"": 23}]"
Bệnh thối rễ ở lúa OM 5451 xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""lúa OM 5451"", ""start"": 15, ""end"": 26}]"
Bón phân cho giai đoạn kích thích ra hoa ở nhãn Ido như thế nào,"[{""type"": ""CROP"", ""value"": ""nhãn Ido"", ""start"": 43, ""end"": 51}]"
Đất trồng phù hợp cho cây tỏi Lý Sơn,"[{""type"": ""CROP"", ""value"": ""tỏi Lý Sơn"", ""start"": 26, ""end"": 36}]"
Tắt đèn chiếu sáng khu A sau nửa tiếng,"[{""type"": ""DEVICE"", ""value"": ""đèn chiếu sáng"", ""start"": 4, ""end"": 18}, {""type"": ""AREA"", ""value"": ""khu A"", ""start"": 19, ""end"": 24}, {""type"": ""DURATION"", ""value"": ""nửa tiếng"", ""start"": 29, ""end"": 38}]"
Bật đèn ở khu I trong 2 giờ,"[{""type"": ""DEVICE"", ""value"": ""đèn"", ""start"": 4, ""end"": 7}, {""type"": ""AREA"", ""value"": ""khu I"", ""start"": 10, ""end"": 15}, {""type"": ""DURATION"", ""value"": ""2 giờ"", ""start"": 22, ""end"": 27}]"
Đất trồng phù hợp cho cây nấm đùi gà,"[{""type"": ""CROP"", ""value"": ""nấm đùi gà"", ""start"": 26, ""end"": 36}]"
Dấu hiệu của dưa hấu Hắc Mỹ Nhân thiếu đạm,"[{""type"": ""CROP"", ""value"": ""dưa hấu Hắc Mỹ Nhân"", ""start"": 13, ""end"": 32}]"
Tắt bơm nước khu 3 sau 2 ngày,"[{""type"": ""DEVICE"", ""value"": ""bơm nước"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu 3"", ""start"": 13, ""end"": 18}, {""type"": ""DURATION"", ""value"": ""2 ngày"", ""start"": 23, ""end"": 29}]"
nhiệt độ không khí khu N đang là bao nhiêu,"[{""type"": ""METRIC"", ""value"": ""nhiệt độ không khí"", ""start"": 0, ""end"": 18}, {""type"": ""AREA"", ""value"": ""khu N"", ""start"": 19, ""end"": 24}]"
"độ ẩm không khí khu N cao quá, tắt bơm","[{""type"": ""METRIC"", ""value"": ""độ ẩm không khí"", ""start"": 0, ""end"": 15}, {""type"": ""AREA"", ""value"": ""khu N"", ""start"": 16, ""end"": 21}, {""type"": ""DEVICE"", ""value"": ""bơm"", ""start"": 35, ""end"": 38}]"
Bật bóng đèn khu K 1 giờ,"[{""type"": ""DEVICE"", ""value"": ""bóng đèn"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu K"", ""start"": 13, ""end"": 18}, {""type"": ""DURATION"", ""value"": ""1 giờ"", ""start"": 19, ""end"": 24}]"
Cách phòng trừ sâu hại chính cho cây xoài cát chu,"[{""type"": ""CROP"", ""value"": ""xoài cát chu"", ""start"": 37, ""end"": 49}]"
độ ẩm không khí của khu 5,"[{""type"": ""METRIC"", ""value"": ""độ ẩm không khí"", ""start"": 0, ""end"": 15}, {""type"": ""AREA"", ""value"": ""khu 5"", ""start"": 20, ""end"": 25}]"
bơ có yêu cầu gì về sinh thái,"[{""type"": ""CROP"", ""value"": ""bơ"", ""start"": 0, ""end"": 2}]"
Thu hoạch dâu tằm khi nào,"[{""type"": ""CROP"", ""value"": ""dâu tằm"", ""start"": 10, ""end"": 17}]"
Bệnh hại ở tiêu đen xử lý như thế nào,"[{""type"": ""CROP"", ""value"": ""tiêu đen"", ""start"": 11, ""end"": 19}]"
nấm kim châm có yêu cầu gì về sinh thái,"[{""type"": ""CROP"", ""value"": ""nấm kim châm"", ""start"": 0, ""end"": 12}]"
Tắt đèn khu Q sau 5 giờ,"[{""type"": ""DEVICE"", ""value"": ""đèn"", ""start"": 4, ""end"": 7}, {""type"": ""AREA"", ""value"": ""khu Q"", ""start"": 8, ""end"": 13}, {""type"": ""DURATION"", ""value"": ""5 giờ"", ""start"": 18, ""end"": 23}]"
