text,entities
"thông tin về cây lúa","[{""type"":""CROP_NAME"",""value"":""lúa"",""start"":16,""end"":19}]"
"kỹ thuật trồng cà chua","[{""type"":""CROP_NAME"",""value"":""cà chua"",""start"":15,""end"":22}]"
"sâu bệnh trên cây cam","[{""type"":""CROP_NAME"",""value"":""cam"",""start"":18,""end"":21}]"
"bón phân cho ớt chuông","[{""type"":""CROP_NAME"",""value"":""ớt chuông"",""start"":13,""end"":22}]"
"thu hoạch khoai lang","[{""type"":""CROP_NAME"",""value"":""khoai lang"",""start"":10,""end"":20}]"
"giống ngô nếp này có tốt không?","[{""type"":""CROP_NAME"",""value"":""ngô nếp"",""start"":6,""end"":13}]"
"cách chăm sóc cây sầu riêng","[{""type"":""CROP_NAME"",""value"":""sầu riêng"",""start"":16,""end"":25}]"
"vườn dưa hấu nhà tôi bị bệnh","[{""type"":""CROP_NAME"",""value"":""dưa hấu"",""start"":5,""end"":12}]"
"bao giờ thì tưới cho rau muống?","[{""type"":""CROP_NAME"",""value"":""rau muống"",""start"":20,""end"":29}]"
"tôi muốn trồng thêm bí đao","[{""type"":""CROP_NAME"",""value"":""bí đao"",""start"":19,""end"":25}]"
"giá cà phê hôm nay","[{""type"":""CROP_NAME"",""value"":""cà phê"",""start"":4,""end"":10}]"
"cây bưởi da xanh đang ra hoa","[{""type"":""CROP_NAME"",""value"":""bưởi da xanh"",""start"":4,""end"":16}]"
"giống lúa ST25 năng suất cao","[{""type"":""CROP_NAME"",""value"":""lúa ST25"",""start"":6,""end"":14}]"
"bệnh vàng lá trên cây có múi","[{""type"":""CROP_NAME"",""value"":""cây có múi"",""start"":21,""end"":32}]"
"tôi muốn trồng hoa lan","[{""type"":""CROP_NAME"",""value"":""hoa lan"",""start"":15,""end"":22}]"
"cây tiêu đang bị rệp","[{""type"":""CROP_NAME"",""value"":""tiêu"",""start"":4,""end"":8}]"
"phun thuốc cho vườn nhãn","[{""type"":""CROP_NAME"",""value"":""nhãn"",""start"":19,""end"":23}]"
"cách trồng nấm rơm","[{""type"":""CROP_NAME"",""value"":""nấm rơm"",""start"":10,""end"":18}]"
"thời vụ trồng đậu tương","[{""type"":""CROP_NAME"",""value"":""đậu tương"",""start"":13,""end"":22}]"
"cây thanh long bị đốm trắng","[{""type"":""CROP_NAME"",""value"":""thanh long"",""start"":4,""end"":14}]"
"cải chíp bao lâu thì thu hoạch?","[{""type"":""CROP_NAME"",""value"":""cải chíp"",""start"":0,""end"":8}]"
"phòng bệnh cho cây dâu tây","[{""type"":""CROP_NAME"",""value"":""dâu tây"",""start"":17,""end"":24}]"
"giống bắp cải này chịu nhiệt tốt","[{""type"":""CROP_NAME"",""value"":""bắp cải"",""start"":6,""end"":13}]"
"tỉa cành cho cây bơ","[{""type"":""CROP_NAME"",""value"":""bơ"",""start"":16,""end"":18}]"
"cây xoài cát hòa lộc","[{""type"":""CROP_NAME"",""value"":""xoài cát hòa lộc"",""start"":4,""end"":20}]"
"cách trồng gừng trong bao","[{""type"":""CROP_NAME"",""value"":""gừng"",""start"":10,""end"":14}]"
"vườn ổi của tôi bị sâu","[{""type"":""CROP_NAME"",""value"":""ổi"",""start"":5,""end"":8}]"
"cây măng cụt lâu có trái không?","[{""type"":""CROP_NAME"",""value"":""măng cụt"",""start"":4,""end"":12}]"
"chăm sóc cây chè","[{""type"":""CROP_NAME"",""value"":""chè"",""start"":12,""end"":15}]"
"cách trồng rau mầm","[{""type"":""CROP_NAME"",""value"":""rau mầm"",""start"":10,""end"":17}]"
"giống mít thái này ngon","[{""type"":""CROP_NAME"",""value"":""mít thái"",""start"":6,""end"":14}]"
"bệnh trên cây lạc","[{""type"":""CROP_NAME"",""value"":""lạc"",""start"":13,""end"":16}]"
"trồng súp lơ xanh","[{""type"":""CROP_NAME"",""value"":""súp lơ xanh"",""start"":6,""end"":17}]"
"tôi muốn trồng củ cải trắng","[{""type"":""CROP_NAME"",""value"":""củ cải trắng"",""start"":15,""end"":28}]"
"cây chôm chôm đang bị bệnh","[{""type"":""CROP_NAME"",""value"":""chôm chôm"",""start"":4,""end"":12}]"
"cách trồng rau xà lách","[{""type"":""CROP_NAME"",""value"":""rau xà lách"",""start"":10,""end"":21}]"
"thông tin về giống tỏi cô đơn","[{""type"":""CROP_NAME"",""value"":""tỏi cô đơn"",""start"":18,""end"":29}]"
"cây su hào bị thối rễ","[{""type"":""CROP_NAME"",""value"":""su hào"",""start"":4,""end"":10}]"
"giá dừa xiêm hôm nay","[{""type"":""CROP_NAME"",""value"":""dừa xiêm"",""start"":4,""end"":12}]"
"cây điều bị bọ xít muỗi","[{""type"":""CROP_NAME"",""value"":""điều"",""start"":4,""end"":8}]"
"cách trồng hoa hồng","[{""type"":""CROP_NAME"",""value"":""hoa hồng"",""start"":10,""end"":18}]"
"giống cà rốt này củ to","[{""type"":""CROP_NAME"",""value"":""cà rốt"",""start"":6,""end"":12}]"
"cây cao su bị bệnh phấn trắng","[{""type"":""CROP_NAME"",""value"":""cao su"",""start"":4,""end"":10}]"
"tôi trồng hành lá","[{""type"":""CROP_NAME"",""value"":""hành lá"",""start"":10,""end"":17}]"
"cây sắn bị vàng lá","[{""type"":""CROP_NAME"",""value"":""sắn"",""start"":4,""end"":7}]"
"giống chanh không hạt","[{""type"":""CROP_NAME"",""value"":""chanh không hạt"",""start"":6,""end"":20}]"
"cách trồng cây bạc hà","[{""type"":""CROP_NAME"",""value"":""bạc hà"",""start"":16,""end"":22}]"
"thu hoạch mướp đắng","[{""type"":""CROP_NAME"",""value"":""mướp đắng"",""start"":10,""end"":19}]"
"thông tin về cây vú sữa","[{""type"":""CROP_NAME"",""value"":""vú sữa"",""start"":16,""end"":22}]"
"cây đậu bắp bị sâu đục trái","[{""type"":""CROP_NAME"",""value"":""đậu bắp"",""start"":4,""end"":11}]"
"bật máy bơm nước","[{""type"":""DEVICE"",""value"":""máy bơm nước"",""start"":4,""end"":16}]"
"tắt quạt thông gió","[{""type"":""DEVICE"",""value"":""quạt thông gió"",""start"":4,""end"":18}]"
"kiểm tra cảm biến độ ẩm","[{""type"":""DEVICE"",""value"":""cảm biến độ ẩm"",""start"":10,""end"":25}]"
"mở van số 2","[{""type"":""DEVICE"",""value"":""van số 2"",""start"":3,""end"":11}]"
"hệ thống tưới tự động đang chạy","[{""type"":""DEVICE"",""value"":""hệ thống tưới tự động"",""start"":0,""end"":22}]"
"lắp thêm đèn LED","[{""type"":""DEVICE"",""value"":""đèn LED"",""start"":9,""end"":16}]"
"drone đang phun thuốc","[{""type"":""DEVICE"",""value"":""drone"",""start"":0,""end"":5}]"
"tắt rơ le số 1","[{""type"":""DEVICE"",""value"":""rơ le số 1"",""start"":4,""end"":13}]"
"cảm biến nhiệt độ báo lỗi","[{""type"":""DEVICE"",""value"":""cảm biến nhiệt độ"",""start"":0,""end"":18}]"
"hệ thống tưới nhỏ giọt bị tắc","[{""type"":""DEVICE"",""value"":""hệ thống tưới nhỏ giọt"",""start"":0,""end"":23}]"
"mở nhà lưới","[{""type"":""DEVICE"",""value"":""nhà lưới"",""start"":3,""end"":11}]"
"đóng van điện từ","[{""type"":""DEVICE"",""value"":""van điện từ"",""start"":5,""end"":16}]"
"máy phun sương đang hoạt động","[{""type"":""DEVICE"",""value"":""máy phun sương"",""start"":0,""end"":14}]"
"kiểm tra camera giám sát","[{""type"":""DEVICE"",""value"":""camera giám sát"",""start"":10,""end"":25}]"
"máy cày đang ở đâu?","[{""type"":""DEVICE"",""value"":""máy cày"",""start"":0,""end"":7}]"
"cảm biến pH đang offline","[{""type"":""DEVICE"",""value"":""cảm biến pH"",""start"":0,""end"":12}]"
"tình trạng bộ điều khiển trung tâm","[{""type"":""DEVICE"",""value"":""bộ điều khiển trung tâm"",""start"":11,""end"":34}]"
"hệ thống châm phân tự động","[{""type"":""DEVICE"",""value"":""hệ thống châm phân tự động"",""start"":0,""end"":27}]"
