text,label
Mật độ trồng kinh giới thích hợp?,knowledge_query
Thời điểm trồng gừng nào tốt nhất?,knowledge_query
Dữ liệu cảm biến 1 giờ trước đi,sensor_query
Lên lịch máy bơm mỗi 2 tiếng.,device_control
Báo cáo chi phí theo từng hạng mục.,financial_query
độ ẩm cao nhất/thấp nhất hôm qua?,sensor_query
Cài đặt cảm biến tốc độ là thấp.,device_control
Liệt kê độ ẩm đất trung bình của nông trại.,sensor_query
dừng quạt ở khu A.,device_control
Vui lòng thời điểm thu hoạch sầu riêng thích hợp,knowledge_query
Xem báo cáo thuế tuần này.,financial_query
Cho xem kiểm tra biểu đồ nhiệt độ hôm nay ơi,sensor_query
vôi bột có tác dụng gì?,knowledge_query
Tự động tưới nước van tưới khi nhiệt độ > 30°C.,device_control
Xem báo cáo công nợ quý này.,financial_query
kích hoạt cho tôi máy bơm xem nào,device_control
ngắt hệ thống châm phân giùm,device_control
Lợi ích sức khỏe của hoa cúc?,knowledge_query
Tính doanh thu của khu A.,financial_query
Ánh sáng có đủ cho cây không?,sensor_query
Lấy cho tôi nhiệt độ khu C.,sensor_query
Khoảng cách trồng chuối?,knowledge_query
THỬ CƯỜNG ĐỘ ÁNH SÁNG HIỆN TẠI,sensor_query
Mật độ trồng rau mùi ở Đồng bằng sông Cửu Long?,knowledge_query
xin hãy tỷ giá hối đoái ngày hôm nay,unknown
Kiểm tra chi phí vật tư hôm qua.,financial_query
Dừng hệ thống tưới khẩn cấp.,device_control
Xu hướng CO2 năm 2024.,sensor_query
Kỹ thuật VAC cho su hào?,knowledge_query
Kiểm tra độ ẩm ở luống 2,sensor_query
Tạo báo cáo chi tiết về khu F giùm,knowledge_query
Cho xem so sánh năng suất năm hiện tại và năm ngoái.,knowledge_query
bạn ơi cho tôi biết bạn là ai,unknown
CHI PHÍ CHO GIỐNG CÂY TRỒNG NĂM HIỆN TẠI GIÙM,financial_query
Hãy cho biết thời vụ trồng khoai lang ở miền trung.,knowledge_query
Chúc ngủ ngon giúp tôi,unknown
VUI LÒNG TRA CỨU CHI TIẾT CHI PHÍ NGÀY 10/10,financial_query
Nhiệt độ cao nhất ngày hôm nay là bao nhiêu giờ?,sensor_query
Cho tôi biết nhận biết cây thiếu dinh dưỡng.,knowledge_query
Tự động xử lý quạt khi trời mưa.,device_control
giúp tôi tiền thuốc trừ sâu đã chi là bao nhiêu,financial_query
Thống kê chi phí theo từng loại cây trồng.,knowledge_query
Bật cửa sổ ở vườn ươm.,device_control
Cho xem báo cáo chi phí trên mỗi đơn vị sản phẩm đi,knowledge_query
So sánh triệu chứng bệnh rệp sáp và bệnh thán thư trên cà tím,knowledge_query
Chu trình sinh trưởng của cao su?,knowledge_query
Các giai đoạn canh tác hành tây?,knowledge_query
Chi phí điện nước 6 tháng đầu năm?,financial_query
Lợi ích sức khỏe của cam?,knowledge_query
LIỆT KÊ TỶ GIÁ HỐI ĐOÁI NGÀY HÔM NAY.,unknown
Liệt kê nồng độ o2 trong hồ cá (nếu có).,sensor_query
Tôi không hiểu đi,unknown
Doanh thu từ sắn quý này?,financial_query
mở quạt thông gió khu C xem nào,device_control
Mô hình VAC là gì đi,knowledge_query
liệt kê chi tiết chi phí ngày 10/10.,financial_query
Bài hát đang hot hiện nay giúp tôi,unknown
giúp tôi kích hoạt máy bơm 1,device_control
độ ẩm đất cao nhất/thấp nhất hôm qua?,sensor_query
Kiểm tra EC ở khu C,sensor_query
vui lòng quy trình trồng nấm rơm,knowledge_query
CHO MÁY BƠM 3 CHẠY 10 PHÚT À,device_control
So sánh triệu chứng bệnh lở cổ rễ và bệnh phấn trắng trên cần tây,knowledge_query
Tính công nợ của vụ mùa.,financial_query
Cảm biến nào đang offline nhé,sensor_query
bao nhiêu giờ rồi nhé,unknown
cam sành trồng theo quy trình nào?,knowledge_query
Giá trị kinh tế của cà chua như thế nào?,knowledge_query
Lên lịch đèn 18h chiều.,device_control
Tính thu nhập của khu B.,financial_query
Bật máy bơm ở đồng ruộng.,device_control
Quy trình canh tác vải có mấy giai đoạn?,knowledge_query
vui lòng nồng độ dinh dưỡng trong dung dịch thủy canh,sensor_query
tổng cộng thu nhập của tôi năm nay?,financial_query
Số đo EC nhà màng bao nhiêu?,sensor_query
Hãy cho biết dữ liệu cảm biến 1 giờ trước.,sensor_query
Công thức tính diện tích hình tròn giúp tôi,unknown
