text,entities
giống gừng này tốt không,"[{""type"": ""CROP_NAME"", ""value"": ""gừng"", ""start"": 6, ""end"": 10}]"
bí xanh bị bọ trĩ,"[{""type"": ""CROP_NAME"", ""value"": ""bí xanh"", ""start"": 0, ""end"": 7}, {""type"": ""PESTICIDE"", ""value"": ""bọ trĩ"", ""start"": 11, ""end"": 17}]"
thu hoạch 46ml gừng ở nhà màng số 1,"[{""type"": ""QUANTITY"", ""value"": ""46ml"", ""start"": 10, ""end"": 14}, {""type"": ""CROP_NAME"", ""value"": ""gừng"", ""start"": 15, ""end"": 19}, {""type"": ""AREA"", ""value"": ""nhà màng số 1"", ""start"": 22, ""end"": 35}]"
chi phí thụ phấn là 8 tỷ,"[{""type"": ""ACTIVITY"", ""value"": ""thụ phấn"", ""start"": 8, ""end"": 16}, {""type"": ""MONEY"", ""value"": ""8 tỷ"", ""start"": 20, ""end"": 24}]"
dọn vườn bưởi da xanh ở đồng ruộng,"[{""type"": ""ACTIVITY"", ""value"": ""dọn vườn"", ""start"": 0, ""end"": 8}, {""type"": ""CROP_NAME"", ""value"": ""bưởi da xanh"", ""start"": 9, ""end"": 21}, {""type"": ""AREA"", ""value"": ""đồng ruộng"", ""start"": 24, ""end"": 34}]"
"kiểm tra PAR ở kho vật tư, đang là 25678 lux","[{""type"": ""SENSOR_TYPE_LIGHT"", ""value"": ""PAR"", ""start"": 9, ""end"": 12}, {""type"": ""AREA"", ""value"": ""kho vật tư"", ""start"": 15, ""end"": 25}, {""type"": ""METRIC_VALUE_LIGHT"", ""value"": ""25678 lux"", ""start"": 35, ""end"": 44}]"
cần cắt tỉa vú sữa vườn cam,"[{""type"": ""ACTIVITY"", ""value"": ""cắt tỉa"", ""start"": 4, ""end"": 11}, {""type"": ""CROP_NAME"", ""value"": ""vú sữa"", ""start"": 12, ""end"": 18}, {""type"": ""AREA"", ""value"": ""vườn cam"", ""start"": 19, ""end"": 27}]"
bật bơm chìm ở khu thử nghiệm trong 6 tháng,"[{""type"": ""DEVICE"", ""value"": ""bơm chìm"", ""start"": 4, ""end"": 12}, {""type"": ""AREA"", ""value"": ""khu thử nghiệm"", ""start"": 15, ""end"": 29}, {""type"": ""DURATION"", ""value"": ""6 tháng"", ""start"": 36, ""end"": 43}]"
chạy 30 phút mỗi giờ,"[{""type"": ""DURATION"", ""value"": ""30 phút"", ""start"": 5, ""end"": 12}]"
ngô nếp tại đồng ruộng bị thuốc trừ bệnh,"[{""type"": ""CROP_NAME"", ""value"": ""ngô nếp"", ""start"": 0, ""end"": 7}, {""type"": ""AREA"", ""value"": ""đồng ruộng"", ""start"": 12, ""end"": 22}, {""type"": ""PESTICIDE"", ""value"": ""thuốc trừ bệnh"", ""start"": 26, ""end"": 40}]"
