text,label
"Cách trồng lúa nước?",knowledge_query
"Bệnh đạo ôn trên lúa là gì?",knowledge_query
"Phương pháp ủ phân compost?",knowledge_query
"Khi nào nên bón phân NPK cho cây cà phê?",knowledge_query
"Kỹ thuật tưới nhỏ giọt cho rau màu?",knowledge_query
"Sâu đục thân hại ngô xử lý thế nào?",knowledge_query
"Các loại thuốc trừ sâu sinh học phổ biến?",knowledge_query
"Cách cải tạo đất bị nhiễm phèn?",knowledge_query
"Giống ngô lai F1 có ưu điểm gì?",knowledge_query
"Thời vụ trồng khoai lang ở miền Trung?",knowledge_query
"Bệnh rỉ sắt trên cây cà phê nhận biết ra sao?",knowledge_query
"Làm thế nào để tăng độ pH cho đất?",knowledge_query
"Quy trình trồng nấm rơm?",knowledge_query
"Bệnh chổi rồng trên nhãn?",knowledge_query
"Cách phòng trừ rệp sáp cho cây có múi?",knowledge_query
"Trồng xen canh là gì?",knowledge_query
"Lợi ích của việc trồng cây họ đậu?",knowledge_query
"Phân biệt phân hữu cơ và phân vô cơ?",knowledge_query
"Bệnh héo xanh trên cây cà chua?",knowledge_query
"Thời điểm thu hoạch sầu riêng thích hợp?",knowledge_query
"Cách nhân giống cây tiêu bằng hom?",knowledge_query
"Đất bazan hợp với cây gì?",knowledge_query
"Làm sao để diệt ốc bươu vàng?",knowledge_query
"Bệnh xoăn lá trên cây ớt?",knowledge_query
"Mô hình VAC là gì?",knowledge_query
"Cách bón vôi cho đất?",knowledge_query
"Chu kỳ sinh trưởng của cây lúa?",knowledge_query
"Bọ trĩ hại dưa hấu?",knowledge_query
"Trồng cây gì để cải tạo đất bạc màu?",knowledge_query
"Phòng bệnh thán thư cho xoài?",knowledge_query
"Cách làm bẫy pheromone?",knowledge_query
"Hiện tượng thối rễ trên cây sầu riêng?",knowledge_query
"Kỹ thuật trồng gừng trong bao?",knowledge_query
"Nuôi trùn quế có lợi ích gì?",knowledge_query
"Bệnh Greening trên cây có múi?",knowledge_query
"Cách chăm sóc cây hồ tiêu mùa khô?",knowledge_query
"Giống bưởi da xanh trồng ở đâu tốt nhất?",knowledge_query
"Làm đất trồng rau sạch tại nhà?",knowledge_query
"Phân lân có tác dụng gì?",knowledge_query
"Các loại sâu bệnh thường gặp trên rau cải?",knowledge_query
"Kỹ thuật tỉa cành cho cây bơ?",knowledge_query
"Tại sao cần bón lót?",knowledge_query
"Bệnh đốm lá trên cây thanh long?",knowledge_query
"Trồng rau aquaponics là gì?",knowledge_query
"Biện pháp canh tác nào giúp giữ ẩm cho đất?",knowledge_query
"Nhện đỏ hại cây cam?",knowledge_query
"Cách xử lý hạt giống trước khi gieo?",knowledge_query
"Phân kali giúp gì cho cây?",knowledge_query
"Mật độ trồng cây sắn hợp lý?",knowledge_query
"Trồng lúa theo tiêu chuẩn VietGAP?",knowledge_query
"Dấu hiệu của lúa thiếu kali?",knowledge_query
"Dấu hiệu thiếu đạm trên cây lúa?",knowledge_query
"Triệu chứng thiếu lân ở cây ngô?",knowledge_query
"Biểu hiện thiếu kali trên lá cây?",knowledge_query
"Nhận biết cây thiếu nitơ?",knowledge_query
"Dấu hiệu thiếu dinh dưỡng trên lúa?",knowledge_query
"Cây bị vàng lá do thiếu chất gì?",knowledge_query
"Triệu chứng thiếu magie trên cà chua?",knowledge_query
"Biểu hiện thiếu sắt ở cây trồng?",knowledge_query
"Dấu hiệu thiếu chất trên cây?",knowledge_query
"Lúa thiếu kali có biểu hiện gì?",knowledge_query
"Nhận biết cây thiếu dinh dưỡng?",knowledge_query
"Triệu chứng cây thiếu phân?",knowledge_query
"Tổng doanh thu tháng này là bao nhiêu?",financial_query
"Chi phí mua phân bón quý 1?",financial_query
"Lợi nhuận của vụ mùa vừa rồi?",financial_query
"Xem báo cáo tài chính tháng 9.",financial_query
"Tiền thuốc trừ sâu đã chi bao nhiêu?",financial_query
"Tổng chi phí nhân công tháng 8?",financial_query
"Doanh thu dự kiến tháng sau?",financial_query
"Chi phí cho giống cây trồng năm nay?",financial_query
"Tính lợi nhuận của khu A.",financial_query
"Tổng thu nhập từ bán cam?",financial_query
"Báo cáo chi phí theo từng hạng mục.",financial_query
"Tháng 7 lỗ hay lãi?",financial_query
"So sánh doanh thu tháng này với tháng trước.",financial_query
"Tiền điện nước cho nông trại tháng này?",financial_query
"Chi phí lớn nhất trong tháng là gì?",financial_query
"Lợi nhuận gộp của vụ lúa ST25?",financial_query
"Tổng tiền đã thu từ khách hàng X?",financial_query
"Chi phí vật tư nông nghiệp tuần này?",financial_query
"Xem lại các khoản chi ngày hôm qua.",financial_query
"Tiền xăng dầu cho máy cày hết mấy?",financial_query
"Tổng kết thu chi 6 tháng đầu năm.",financial_query
"Dự toán chi phí cho vụ mùa tới?",financial_query
"Tiền bán rau sạch hôm nay?",financial_query
"Xem lợi nhuận của cây sầu riêng.",financial_query
"Chi phí cố định hàng tháng là bao nhiêu?",financial_query
"Báo cáo dòng tiền.",financial_query
"Kiểm tra các khoản nợ nhà cung cấp.",financial_query
"Chi phí đầu tư ban đầu cho nhà kính?",financial_query
"Tiền lãi vay ngân hàng tháng này?",financial_query
"Doanh thu từ vườn ổi là bao nhiêu?",financial_query
"Xem chi tiết chi phí ngày 10/10.",financial_query
"Lợi nhuận ròng của năm 2024?",financial_query
"Thống kê tiền bán nông sản.",financial_query
"Các khoản chi đột xuất trong tháng?",financial_query
"Tiền mua thức ăn chăn nuôi?",financial_query
"Chi phí sửa chữa máy bơm nước?",financial_query
"Tổng thu nhập của tôi năm nay?",financial_query
"Báo cáo thuế tháng này?",financial_query
"Xem công nợ của đại lý B.",financial_query
"Số dư tài khoản hiện tại?",financial_query
"Liệt kê các chi phí của khu B.",financial_query
"Doanh thu bán dưa hấu vụ Tết?",financial_query
"Tiền nào chưa thanh toán?",financial_query
"Dự kiến hòa vốn khi nào?",financial_query
"Xem báo cáo lỗ lãi.",financial_query
"Chi phí nào cao bất thường không?",financial_query
"Tổng tiền điện tháng này?",financial_query
"Cho xem chi phí hạt giống.",financial_query
"Lợi nhuận thu được từ 1 hecta lúa?",financial_query
"Báo cáo sản lượng thu hoạch tháng trước.",analytics_query
"Sản lượng dự kiến của khu A là bao nhiêu?",analytics_query
"So sánh chi phí và doanh thu của vụ này.",analytics_query
